VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;90718190;15/7/2021;;4;ALMOHADAS L.COPO 80CM;$ 0,00;12/7/2021;SANTA FE;Lanteri;ecommerce
1;90719685;15/7/2021;;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;$ 0,00;12/7/2021;SANTA CRUZ;RIO GALLEGOS;ecommerce
1;90719007;15/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;12/7/2021;BUENOS AIRES; Temperley;ecommerce
1;90752345;15/7/2021;;1;CONJUNTO L. REMBRANDT TRADICIONAL 100CMX190CM;$ 0,00;13/7/2021;JUJUY;San Pedro;ecommerce
1;90751454;15/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;13/7/2021;SANTA FE;SAN JUSTO;ecommerce
1;90751636;15/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;13/7/2021;SANTA FE;SANTA FE;ecommerce
1;90751743;15/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;13/7/2021;SANTA FE;SANTA FE;ecommerce
1;90753129;15/7/2021;;1;CONJUNTO L. REMBRANDT TRADICIONAL 140CMX190CM;$ 0,00;13/7/2021;CHUBUT;COMODORO RIVADAVIA;ecommerce
1;-;19/7/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 100CMX190CM;$ 0,00;14/7/2021;SANTA FE;LEHMANN;ecommerce
1;90784116;16/7/2021;;1;CONJUNTO L. DALI TRADICIONAL 140CMX190CM;$ 0,00;14/7/2021;RÍO NEGRO;CIPOLLETTI;ecommerce
1;90784491;16/7/2021;;2;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;14/7/2021;SANTA CRUZ;RIO GALLEGOS;ecommerce
1;90784704;16/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;14/7/2021;BUENOS AIRES;CASTELAR;ecommerce
1;90784894;16/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;14/7/2021;NEUQUÉN;NEUQUÉN;ecommerce
